Buy Date,Symbol,Strategy,Status,Stage,Entry_Price,Initial_Quantity,Current_Quantity,Investment_Amount,Current_LTP,Sell Date,SL_Price,Exit_Price,Exit_Reason,Realized_PnL,Unrealized_PnL,Total_PnL,PnL_Percentage,Measurement_Date
12/29/2025,ADANIENT,Value Buy,OPEN,0,2203.2,4,4,8812.8,2158.5,,2093.04,0.0,,0.0,-178.8,-178.8,-2.03,
12/29/2025,AXISBANK,GFS,OPEN,0,1232.0,8,8,9856.0,1262.0,,1170.4,0.0,,0.0,240.0,240.0,2.44,
12/29/2025,BRITANNIA,AGFS,OPEN,0,6041.5,1,1,6041.5,5918.0,,5739.43,0.0,,0.0,-123.5,-123.5,-2.04,
12/29/2025,GRASIM,AGFS,OPEN,0,2842.4,3,3,8527.2,2774.2,,2700.28,0.0,,0.0,-204.6,-204.6,-2.4,
12/29/2025,HINDUNILVR,Value Buy,OPEN,0,2293.3,4,4,9173.2,2389.5,,2178.64,0.0,,0.0,384.8,384.8,4.19,
12/29/2025,NESTLEIND,AGFS,OPEN,0,1280.0,7,7,8960.0,1318.7,,1216.0,0.0,,0.0,270.9,270.9,3.02,
12/29/2025,PIIND,Value Buy,OPEN,0,3240.7,3,3,9722.1,3267.0,,3078.66,0.0,,0.0,78.9,78.9,0.81,
12/29/2025,SIEMENS,Value Buy,OPEN,0,3054.3,3,3,9162.9,2947.7,,2901.59,0.0,,0.0,-319.8,-319.8,-3.49,
12/29/2025,SRF,AGFS,OPEN,0,3075.9,3,3,9227.7,3039.6,,2922.11,0.0,,0.0,-108.9,-108.9,-1.18,
12/29/2025,TATASTEEL,AGFS,OPEN,1,172.3,58,58,9993.4,182.57,,172.3,0.0,,0.0,595.66,595.66,5.96,
12/29/2025,TECHM,AGFS,OPEN,0,1612.4,6,6,9674.4,1614.8,,1531.78,0.0,,0.0,14.4,14.4,0.15,
12/29/2025,UPL,AGFS,OPEN,0,770.95,12,12,9251.4,773.45,,732.4,0.0,,0.0,30.0,30.0,0.32,
12/29/2025,ICICIPRULI,AGFS,OPEN,1,651.2,15,15,9768.0,681.45,,651.2,0.0,,0.0,453.75,453.75,4.65,
12/29/2025,TATACONSUM,AGFS,OPEN,0,1195.2,8,8,9561.6,1189.4,,1135.44,0.0,,0.0,-46.4,-46.4,-0.49,
12/29/2025,LTIM,GFS,OPEN,0,6033.5,1,1,6033.5,6100.5,,5731.82,0.0,,0.0,67.0,67.0,1.11,
12/30/2025,BAJAJ-AUTO,AGFS,OPEN,0,9282.0,1,1,9282.0,9554.0,,8817.9,0.0,,0.0,272.0,272.0,2.93,
12/30/2025,BHEL,AGFS,CLOSED,1,282.8,35,0,9898.0,303.55,2026-01-08,282.8,282.8,SL Hit,0.0,0.0,0.0,0.0,
12/30/2025,HAVELLS,Value Buy,OPEN,0,1413.0,7,7,9891.0,1431.7,,1342.35,0.0,,0.0,130.9,130.9,1.32,
12/30/2025,HEROMOTOCO,GFS,OPEN,0,5711.0,1,1,5711.0,5734.5,,5425.45,0.0,,0.0,23.5,23.5,0.41,
12/30/2025,PNB,AGFS,OPEN,0,122.38,81,81,9912.78,124.52,,116.26,0.0,,0.0,173.34,173.34,1.75,
12/30/2025,TITAN,AGFS,OPEN,1,3974.1,2,2,7948.2,4239.2,,3974.1,0.0,,0.0,530.2,530.2,6.67,
12/30/2025,ADANIENSOL,AGFS,CLOSED,0,1024.15,9,0,9217.35,994.3,2026-01-09,972.94,972.94,SL Hit,-460.8900000000003,0.0,-460.8900000000003,-5.0,
2025-12-31,IOC,AGFS,CLOSED,0,166.46,60,0,9987.6,162.67,2026-01-08,158.14,158.14,SL Hit,-499.2000000000013,0.0,-499.2000000000013,-5.0,
2025-12-31,JINDALSTEL,AGFS,CLOSED,0,1053.8,9,0,9484.2,1010.3,2026-01-12,1001.11,1001.11,SL Hit,-474.20999999999947,0.0,-474.20999999999947,-5.0,
2026-01-01,WIPRO,AGFS,OPEN,0,267.35,37,37,9891.95,264.2,,253.98,0.0,,0.0,-116.55,-116.55,-1.18,
2026-01-02,HDFCBANK,AGFS,CLOSED,0,1001.6,9,0,9014.4,962.2,2026-01-07,951.52,951.52,SL Hit,-450.7200000000004,0.0,-450.7200000000004,-5.0,
2026-01-05,ICICIGI,AGFS,CLOSED,0,1979.9,5,0,9899.5,1908.2,2026-01-09,1880.9,1880.9,SL Hit,-495.0,0.0,-495.0,-5.0,
2026-01-06,SBICARD,AGFS,CLOSED,0,901.55,11,0,9917.05,863.2,2026-01-12,856.47,854.0,SL Hit (Gap),-523.0499999999995,0.0,-523.0499999999995,-5.27,
2026-01-06,DIVISLAB,AGFS,OPEN,0,6642.5,1,1,6642.5,6436.5,,6310.38,0.0,,0.0,-206.0,-206.0,-3.1,
2026-01-06,ATGL,Value Buy,OPEN,0,570.35,17,17,9695.95,555.45,,541.83,0.0,,0.0,-253.3,-253.3,-2.61,
2026-01-06,HDFCLIFE,AGFS,OPEN,0,777.85,12,12,9334.2,748.5,,738.96,0.0,,0.0,-352.2,-352.2,-3.77,
2026-01-06,IRCTC,Value Buy,CLOSED,0,671.2,14,0,9396.8,656.45,2026-01-09,637.64,637.64,SL Hit,-469.8400000000008,0.0,-469.8400000000008,-5.0,
2026-01-07,SUNPHARMA,AGFS,OPEN,0,1782.6,5,5,8913.0,1728.7,,1693.47,0.0,,0.0,-269.5,-269.5,-3.02,
2026-01-08,INDUSTOWER,AGFS,OPEN,0,430.85,23,23,9909.55,427.9,,409.31,0.0,,0.0,-67.85,-67.85,-0.68,
2026-01-08,ABB,Value Buy,OPEN,0,5021.0,1,1,5021.0,4966.0,,4769.95,0.0,,0.0,-55.0,-55.0,-1.1,
2026-01-09,MOTHERSON,GFS,OPEN,0,115.64,86,86,9945.04,114.93,,109.86,0.0,,0.0,-61.06,-61.06,-0.61,
2026-01-09,COALINDIA,AGFS,OPEN,0,418.35,23,23,9622.05,428.9,,397.43,0.0,,0.0,242.65,242.65,2.52,
2026-01-09,BHEL,GFS,CLOSED,0,274.25,36,0,9873.0,274.25,2026-01-12,260.54,260.54,SL Hit,-493.55999999999926,0.0,-493.55999999999926,-5.0,
2026-01-09,HCLTECH,AGFS,OPEN,0,1661.4,6,6,9968.4,1665.0,,1578.33,0.0,,0.0,21.6,21.6,0.22,
2026-01-12,ASIANPAINT,AGFS,OPEN,0,2896.4,3,3,8689.2,2886.3,,2751.58,0.0,,0.0,-30.3,-30.3,-0.35,
2026-01-12,ICICIBANK,AGFS,OPEN,0,1413.1,7,7,9891.7,1437.0,,1342.44,0.0,,0.0,167.3,167.3,1.69,
2026-01-12,TRENT,Value Buy,CLOSED,0,4056.4,2,0,8112.8,4056.4,2026-01-13,3853.58,3853.58,SL Hit,-405.6400000000003,0.0,-405.6400000000003,-5.0,
2026-01-12,BPCL,GFS,OPEN,0,358.75,27,27,9686.25,355.1,,340.81,0.0,,0.0,-98.55,-98.55,-1.02,
